売上日,社員ID,商品分類,商品名,単価,数量,売上金額
2020-01-04,a023,ボトムス,ロングパンツ,7000,8,56000
2020-01-05,a003,ボトムス,ジーンズ,6000,10,60000
2020-01-05,a052,アウター,ジャケット,10000,7,70000
2020-01-06,a003,ボトムス,ロングパンツ,7000,10,70000
2020-01-07,a036,ボトムス,ロングパンツ,7000,2,14000
2020-01-09,a013,トップス,ニット,8000,7,56000
2020-01-10,a047,アウター,ダウン,18000,7,126000
2020-01-11,a013,トップス,ニット,8000,5,40000
2020-01-11,a013,ボトムス,ハーフパンツ,3000,9,27000
2020-01-11,a047,ボトムス,ロングパンツ,7000,1,7000
2020-01-16,a036,ボトムス,ハーフパンツ,3000,5,15000
2020-01-19,a003,トップス,シャツ,4000,1,4000
2020-01-21,a003,アウター,ダウン,18000,1,18000
2020-01-21,a036,アウター,ダウン,18000,3,54000
2020-01-22,a047,トップス,シャツ,4000,1,4000
2020-01-24,a003,ボトムス,ロングパンツ,7000,6,42000
2020-01-25,a036,トップス,シャツ,4000,5,20000
2020-01-26,a003,トップス,シャツ,4000,6,24000
2020-01-26,a013,ボトムス,ロングパンツ,7000,5,35000
2020-02-02,a003,ボトムス,ロングパンツ,7000,4,28000
2020-02-03,a036,トップス,シャツ,4000,5,20000
2020-02-03,a047,アウター,ダウン,18000,8,144000
2020-02-07,a047,ボトムス,ハーフパンツ,3000,9,27000
2020-02-10,a047,ボトムス,ロングパンツ,7000,3,21000
2020-02-13,a047,トップス,ニット,8000,2,16000
2020-02-18,a003,アウター,ダウン,18000,4,72000
2020-02-18,a023,アウター,ジャケット,10000,7,70000
2020-02-19,a013,ボトムス,ロングパンツ,7000,10,70000
2020-02-22,a047,ボトムス,ロングパンツ,7000,5,35000
2020-02-25,a036,トップス,シャツ,4000,1,4000
2020-02-28,a003,アウター,ジャケット,10000,1,10000
2020-03-02,a036,ボトムス,ハーフパンツ,3000,3,9000
2020-03-02,a051,アウター,ジャケット,10000,5,50000
2020-03-04,a036,ボトムス,ハーフパンツ,3000,7,21000
2020-03-05,a013,トップス,ニット,8000,7,56000
2020-03-05,a013,トップス,シャツ,4000,4,16000
2020-03-05,a023,トップス,シャツ,4000,4,16000
2020-03-05,a051,ボトムス,ハーフパンツ,3000,5,15000
2020-03-06,a023,ボトムス,ロングパンツ,7000,9,63000
