売上日,社員ID,商品分類,商品名,単価,数量,売上金額
2020年1月04日,a023,ボトムス,ロングパンツ,7000,8,56000
2020年1月05日,a003,ボトムス,ジーンズ,6000,10,60000
2020年1月05日,a052,アウター,ジャケット,10000,7,70000
2020年1月06日,a003,ボトムス,ロングパンツ,7000,10,70000
2020年1月07日,a036,ボトムス,ロングパンツ,7000,2,14000
2020年1月09日,a013,トップス,ニット,8000,7,56000
2020年1月10日,a047,アウター,ダウン,18000,7,126000
2020年1月11日,a013,トップス,ニット,8000,5,40000
2020年1月11日,a013,ボトムス,ハーフパンツ,3000,9,27000
2020年1月11日,a047,ボトムス,ロングパンツ,7000,1,7000
2020年1月16日,a036,ボトムス,ハーフパンツ,3000,5,15000
2020年1月19日,a003,トップス,シャツ,4000,1,4000
2020年1月21日,a003,アウター,ダウン,18000,1,18000
2020年1月21日,a036,アウター,ダウン,18000,3,54000
2020年1月22日,a047,トップス,シャツ,4000,1,4000
2020年1月24日,a003,ボトムス,ロングパンツ,7000,6,42000
2020年1月25日,a036,トップス,シャツ,4000,5,20000
2020年1月26日,a003,トップス,シャツ,4000,6,24000
2020年1月26日,a013,ボトムス,ロングパンツ,7000,5,35000
2020年2月02日,a003,ボトムス,ロングパンツ,7000,4,28000
2020年2月03日,a036,トップス,シャツ,4000,5,20000
2020年2月03日,a047,アウター,ダウン,18000,8,144000
2020年2月07日,a047,ボトムス,ハーフパンツ,3000,9,27000
2020年2月10日,a047,ボトムス,ロングパンツ,7000,3,21000
2020年2月13日,a047,トップス,ニット,8000,2,16000
2020年2月18日,a003,アウター,ダウン,18000,4,72000
2020年2月18日,a023,アウター,ジャケット,10000,7,70000
2020年2月19日,a013,ボトムス,ロングパンツ,7000,10,70000
2020年2月22日,a047,ボトムス,ロングパンツ,7000,5,35000
2020年2月25日,a036,トップス,シャツ,4000,1,4000
2020年2月28日,a003,アウター,ジャケット,10000,1,10000
2020年3月02日,a036,ボトムス,ハーフパンツ,3000,3,9000
2020年3月02日,a051,アウター,ジャケット,10000,5,50000
2020年3月04日,a036,ボトムス,ハーフパンツ,3000,7,21000
2020年3月05日,a013,トップス,ニット,8000,7,56000
2020年3月05日,a013,トップス,シャツ,4000,4,16000
2020年3月05日,a023,トップス,シャツ,4000,4,16000
2020年3月05日,a051,ボトムス,ハーフパンツ,3000,5,15000
2020年3月06日,a023,ボトムス,ロングパンツ,7000,9,63000
2020年3月06日,a052,アウター,ジャケット,10000,6,60000
2020年3月07日,a003,ボトムス,ジーンズ,6000,2,12000
2020年3月10日,a013,ボトムス,ロングパンツ,7000,6,42000
2020年3月12日,a047,アウター,ジャケット,10000,9,90000
2020年3月13日,a013,ボトムス,ジーンズ,6000,1,6000
2020年3月14日,a036,アウター,ダウン,18000,1,18000
2020年3月17日,a013,ボトムス,ロングパンツ,7000,8,56000
2020年3月18日,a013,ボトムス,ハーフパンツ,3000,5,15000
2020年3月22日,a013,トップス,シャツ,4000,6,24000
2020年3月26日,a036,トップス,シャツ,4000,8,32000
2020年3月27日,a023,ボトムス,ハーフパンツ,3000,8,24000
2020年4月03日,a003,ボトムス,ロングパンツ,7000,3,21000
2020年4月04日,a047,トップス,ニット,8000,8,64000
2020年4月09日,a003,ボトムス,ロングパンツ,7000,8,56000
2020年4月09日,a023,トップス,ニット,8000,10,80000
2020年4月11日,a003,ボトムス,ロングパンツ,7000,3,21000
2020年4月14日,a003,ボトムス,ジーンズ,6000,4,24000
2020年4月15日,a036,アウター,ジャケット,10000,3,30000
2020年4月18日,a003,トップス,ニット,8000,1,8000
2020年4月18日,a051,ボトムス,ロングパンツ,7000,5,35000
2020年4月19日,a003,トップス,ニット,8000,6,48000
2020年4月20日,a036,トップス,ニット,8000,3,24000
2020年4月21日,a013,アウター,ジャケット,10000,7,70000
2020年4月24日,a023,ボトムス,ジーンズ,6000,4,24000
2020年4月29日,a023,ボトムス,ジーンズ,6000,1,6000
2020年5月05日,a047,トップス,シャツ,4000,10,40000
2020年5月06日,a013,ボトムス,ジーンズ,6000,5,30000
2020年5月12日,a003,アウター,ジャケット,10000,6,60000
2020年5月13日,a023,トップス,ニット,8000,6,48000
2020年5月14日,a036,アウター,ジャケット,10000,10,100000
2020年5月15日,a003,ボトムス,ロングパンツ,7000,6,42000
2020年5月20日,a036,ボトムス,ロングパンツ,7000,1,7000
2020年5月22日,a023,トップス,ニット,8000,10,80000
2020年5月24日,a003,トップス,シャツ,4000,7,28000
2020年5月24日,a003,ボトムス,ジーンズ,6000,5,30000
2020年5月24日,a047,ボトムス,ハーフパンツ,3000,6,18000
2020年5月25日,a023,アウター,ダウン,18000,4,72000
2020年6月02日,a013,ボトムス,ジーンズ,6000,7,42000
2020年6月02日,a051,ボトムス,ジーンズ,6000,8,48000
2020年6月03日,a023,トップス,ニット,8000,4,32000
2020年6月03日,a047,アウター,ジャケット,10000,6,60000
2020年6月08日,a003,ボトムス,ロングパンツ,7000,7,49000
2020年6月10日,a023,トップス,シャツ,4000,1,4000
2020年6月11日,a023,アウター,ダウン,18000,9,162000
2020年6月13日,a036,ボトムス,ロングパンツ,7000,2,14000
2020年6月14日,a003,トップス,ニット,8000,8,64000
2020年6月15日,a023,ボトムス,ジーンズ,6000,5,30000
2020年6月15日,a036,トップス,ニット,8000,2,16000
2020年6月16日,a003,トップス,ニット,8000,5,40000
2020年6月16日,a047,ボトムス,ロングパンツ,7000,6,42000
2020年6月17日,a036,トップス,ニット,8000,5,40000
2020年6月18日,a013,ボトムス,ジーンズ,6000,10,60000
2020年6月22日,a003,トップス,ニット,8000,8,64000
2020年6月25日,a013,ボトムス,ハーフパンツ,3000,2,6000
2020年6月26日,a036,ボトムス,ジーンズ,6000,10,60000
2020年6月27日,a023,アウター,ジャケット,10000,2,20000
2020年6月27日,a052,トップス,シャツ,4000,5,20000
2020年6月30日,a003,ボトムス,ハーフパンツ,3000,7,21000
2020年6月30日,a052,トップス,ニット,8000,8,64000
2020年7月04日,a013,ボトムス,ロングパンツ,7000,5,35000
2020年7月10日,a047,アウター,ダウン,18000,7,126000
2020年7月11日,a023,ボトムス,ハーフパンツ,3000,4,12000
2020年7月13日,a013,ボトムス,ハーフパンツ,3000,10,30000
2020年7月13日,a023,ボトムス,ジーンズ,6000,4,24000
2020年7月14日,a036,アウター,ダウン,18000,7,126000
2020年7月14日,a047,アウター,ジャケット,10000,9,90000
2020年7月16日,a003,トップス,ニット,8000,8,64000
2020年7月19日,a003,アウター,ジャケット,10000,1,10000
2020年7月21日,a003,ボトムス,ハーフパンツ,3000,4,12000
2020年7月22日,a003,トップス,ニット,8000,7,56000
2020年7月26日,a003,ボトムス,ロングパンツ,7000,8,56000
2020年7月27日,a013,アウター,ジャケット,10000,2,20000
2020年7月27日,a023,トップス,ニット,8000,6,48000
